Unnamed: 0,data_ref,id_cliente,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda,renda_prevista
0,2015-01-01,15056,F,False,True,0,Empresário,Secundário,Solteiro,Casa,26,6.602739726027397,1.0,8060.34,5899.120453452384
1,2015-01-01,9968,M,True,True,0,Assalariado,Superior completo,Casado,Casa,28,7.183561643835616,2.0,1852.15,4775.110188095235
2,2015-01-01,4312,F,True,True,0,Empresário,Superior completo,Casado,Casa,35,0.8383561643835616,2.0,2253.89,2746.4319110137085
3,2015-01-01,10639,F,False,True,1,Servidor público,Superior completo,Casado,Casa,30,4.846575342465753,3.0,6600.77,3552.32264687951
4,2015-01-01,7064,M,True,False,0,Assalariado,Secundário,Solteiro,Governamental,33,4.293150684931507,1.0,6475.97,6222.84553063491
5,2015-01-01,10581,F,False,True,0,Assalariado,Superior completo,Casado,Casa,39,4.345205479452055,2.0,1445.87,1789.6738255375178
6,2015-01-01,7129,F,False,True,0,Empresário,Superior completo,Viúvo,Casa,55,6.3780821917808215,1.0,1726.03,2769.11534789072
7,2015-01-01,9952,F,False,True,0,Empresário,Secundário,Casado,Casa,36,3.104109589041096,2.0,2515.98,2606.136650303033
8,2015-01-01,883,F,False,True,0,Assalariado,Secundário,Casado,Casa,50,18.6054794520548,2.0,3420.34,5275.464186746032
9,2015-01-01,8070,M,True,True,0,Assalariado,Superior completo,Casado,Casa,60,10.558904109589042,2.0,12939.14,14535.630569999994
10,2015-01-01,2221,M,False,False,0,Empresário,Secundário,Casado,Casa,39,2.0876712328767124,2.0,6402.41,5843.160035714278
11,2015-01-01,6881,F,False,True,0,Pensionista,Secundário,Casado,Casa,65,,2.0,1685.51,2723.8369379345677
12,2015-01-01,2448,F,False,True,0,Pensionista,Secundário,Viúvo,Casa,60,,1.0,6343.52,3493.9187901749483
13,2015-01-01,12517,F,True,False,0,Assalariado,Superior completo,Casado,Casa,41,15.04109589041096,2.0,581.18,6791.8977466269835
